ID,単語,日本語
218,Let's ～.,（一緒に）～しましょうか（書きかえ）
219,good,良い
220,well,上手に/えーと/(名)井戸
221,better - best,比較級－最上級
222,bad,悪い
223,ill,病気の
224,worse - worst,比較級－最上級
225,many,多数の（数えられる物）
226,much,多量の（数えられない物）
227,more - most,比較級－最上級
228,tall,背が高い
229,taller - tallest,比較級－最上級
230,large,大きい/広い
231,larger - largest,比較級－最上級
232,easy,簡単な
233,easier - easiest,比較級－最上級
234,big,大きい
235,bigger - biggest,比較級－最上級
236,useful,役に立つ
237,more useful - most useful,比較級－最上級（3音節以上の形容詞）
238,active,活発な/活動的な
239,alive,生きている
240,amazing,驚くべき
241,ancient,古代の
242,another,もう一つの
243,attractive,魅力的な
244,beautiful,美しい
245,bored,退屈した
246,brave,勇気のある/勇敢な
247,British,イギリスの
248,busy,忙しい/にぎやかな
249,careful,注意深い
250,cheap,値段が安い
251,cheerful,陽気な
252,clever,賢い/頭がいい
253,cloudy,曇りの
254,cold,冷たい/寒い/(名)風邪
255,colorful,色とりどりの
256,common,普通の/常識的な
257,cool,涼しい/かっこいい
258,crowded,混雑した/満員の
259,cute,かわいらしい
260,dark,暗い
261,dear,親愛なる
262,deep,深い
263,delicious,とてもおいしい
264,different,ちがった/いろいろな
265,difficult,難しい/困難な
266,each,それぞれの
267,early,早い/(副)早く
268,elderly,年配の
269,else,ほかの
270,enough,十分な
271,every,それぞれの
272,excited,（人が）わくわくする
273,exciting,（モノが）わくわくする
274,expensive,値段が高い
275,famous,有名な
276,favorite,お気に入りの
277,few,～がほとんどない（可算）
278,a few,少しの～（可算）
279,little,～がほとんどない（不可算）/小さくてかわいい
280,a little,少しの～（不可算）
281,fine,元気な/天気がいい
282,foreign,外国の
283,free,ひまな/自由な
284,friendly,友好的な/人なつっこい
285,full,いっぱいの/満腹の
286,funny,おかしい
287,general,一般的な
288,glad,うれしい
289,golden,金色の/すばらしい
290,grand,雄大な/大きな
291,great,すばらしい/偉大な/すごい
292,hard,固い/つらい/(副)熱心に
293,healthy,健康的な
294,heavy,重い
295,helpful,助けになる/役立つ
296,high,高い
297,hot,熱い/暑い/からい
298,important,重要な
299,interesting,おもしろい/興味深い
300,international,国際的な
301,kind,親切な/(名)種類
302,late,遅い/遅れた
303,leading,主要な
304,light,軽い/色が薄い/(名)明かり/信号
305,lonely,さびしい/ひとりぼっちの
306,low,低い
307,lucky,幸運な
308,main,主な
309,mechanical,機械の
